iso_code,continent,location,date,total_cases,total_deaths
ZAF,Africa,South Africa,2021/05/01,1582842,54406
ZAF,Africa,South Africa,2021/05/02,1584064,54417
ZAF,Africa,South Africa,2021/05/03,1584961,54452
ZAF,Africa,South Africa,2021/05/04,1586148,54511
ZAF,Africa,South Africa,2021/05/05,1588221,54557
ZAF,Africa,South Africa,2021/05/06,1590370,54620
ZAF,Africa,South Africa,2021/05/07,1592626,54687
ZAF,Africa,South Africa,2021/05/08,1592626,54687
ZAF,Africa,South Africa,2021/05/09,1596595,54735
ZAF,Africa,South Africa,2021/05/10,1597724,54825
ZAF,Africa,South Africa,2021/05/11,1599272,54896
ZAF,Africa,South Africa,2021/05/12,1602031,54968
ZAF,Africa,South Africa,2021/05/13,1605252,55012
ZAF,Africa,South Africa,2021/05/14,1608393,55124
ZAF,Africa,South Africa,2021/05/15,1611143,55183
ZAF,Africa,South Africa,2021/05/16,1613728,55210
ZAF,Africa,South Africa,2021/05/17,1615485,55260
ZAF,Africa,South Africa,2021/05/18,1617840,55340
ZAF,Africa,South Africa,2021/05/19,1621362,55507
ZAF,Africa,South Africa,2021/05/20,1625003,55568
ZAF,Africa,South Africa,2021/05/21,1628335,55719
ZAF,Africa,South Africa,2021/05/22,1632571,55772
ZAF,Africa,South Africa,2021/05/23,1635465,55802
ZAF,Africa,South Africa,2021/05/24,1637848,55874
ZAF,Africa,South Africa,2021/05/25,1637848,55976
ZAF,Africa,South Africa,2021/05/26,1645555,56077
ZAF,Africa,South Africa,2021/05/27,1649977,56170
ZAF,Africa,South Africa,2021/05/28,1654551,56293
ZAF,Africa,South Africa,2021/05/29,1659070,56363
ZAF,Africa,South Africa,2021/05/30,1659070,56363
ZAF,Africa,South Africa,2021/05/31,1665617,56506
ZAF,Africa,South Africa,2021/06/01,1669231,56601
ZAF,Africa,South Africa,2021/06/02,1675013,56711
ZAF,Africa,South Africa,2021/06/03,1680373,56765
ZAF,Africa,South Africa,2021/06/04,1686041,56832
ZAF,Africa,South Africa,2021/06/05,1691491,56929
ZAF,Africa,South Africa,2021/06/06,1696564,56974
ZAF,Africa,South Africa,2021/06/07,1699849,57063
ZAF,Africa,South Africa,2021/06/08,1704058,57183
ZAF,Africa,South Africa,2021/06/09,1712939,57310
ZAF,Africa,South Africa,2021/06/10,1722086,57410
ZAF,Africa,South Africa,2021/06/11,1730106,57592
ZAF,Africa,South Africa,2021/06/12,1739425,57706
ZAF,Africa,South Africa,2021/06/13,1747082,57765
ZAF,Africa,South Africa,2021/06/14,1752630,57879
ZAF,Africa,South Africa,2021/06/15,1761066,58087
ZAF,Africa,South Africa,2021/06/16,1774312,58223
ZAF,Africa,South Africa,2021/06/17,1786079,58323
ZAF,Africa,South Africa,2021/06/18,1796589,58441
ZAF,Africa,South Africa,2021/06/19,1810164,58590
ZAF,Africa,South Africa,2021/06/20,1823319,58702
ZAF,Africa,South Africa,2021/06/21,1832479,58795
ZAF,Africa,South Africa,2021/06/22,1843572,59092
ZAF,Africa,South Africa,2021/06/23,1861065,59258
ZAF,Africa,South Africa,2021/06/24,1877143,59406
ZAF,Africa,South Africa,2021/06/25,1895905,59621
ZAF,Africa,South Africa,2021/06/26,1913861,59778
ZAF,Africa,South Africa,2021/06/27,1928897,59900
ZAF,Africa,South Africa,2021/06/28,1941119,60038
ZAF,Africa,South Africa,2021/06/29,1954466,60264
ZAF,Africa,South Africa,2021/06/30,1973972,60647
ZAF,Africa,South Africa,2021/07/01,1995556,61029
ZAF,Africa,South Africa,2021/07/02,2019826,61332
ZAF,Africa,South Africa,2021/07/03,2046311,61507
